timestamp,function,duration_seconds
2026-06-14 18:56:24.281402,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:24.792619,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:24.803625,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:25.041412,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:25.295599,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:25.570882,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:25.821434,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:26.076216,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:26.331004,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:26.585919,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:26.851803,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:27.132290,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:27.355644,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:27.606602,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:28.135803,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:28.147827,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:28.385866,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:28.621620,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:28.886377,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:29.355008,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:29.415707,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:29.656172,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:29.916065,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:30.177113,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:30.411971,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:30.676149,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:30.999999,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:31.201747,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:31.451642,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:31.706453,apply_high_pass_filter,0.0009,4096
